Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
5+_children,5+_children,5+_children,5+_children,5+_children,79,1
_T,Both sexes,Oba spola,Оба пола,Oba spola,79,1
DEATHS,Deaths,Umrli,Умрли,Umrli,33,1
did_not_give_birth,Did not give birth,Nisu rađale,Нису рађале,Nisu rađale,79,1
four_children,four_children,four_children,four_children,four_children,79,1
LIVE_BIRTH,Live births,Živorođeni,Живорођени,Živorođeni,33,1
NATURAL_CHANGE,Natural change,Prirodni priraštaj,Природни прираштај,Prirodni priraštaj,11,1
one_child,one_child,one_child,one_child,one_child,79,1
three_children,three_children,three_children,three_children,three_children,79,1
two_children,two_children,two_children,two_children,two_children,79,1
