Year,UNIT_MEASURE,status_in_employment,Sex,Value
2016,%,employees,_T,82.2
2016,%,self_employed,_T,16.1
2016,%,unpaid_family_workers,_T,1.7
2016,%,employees,_M,80.1
2016,%,self_employed,_M,18.9
2016,%,unpaid_family_workers,_M,1
2016,%,employees,_F,86.1
2016,%,self_employed,_F,10.8
2016,%,unpaid_family_workers,_F,3.1
2017,%,employees,_T,81.2
2017,%,self_employed,_T,16.7
2017,%,unpaid_family_workers,_T,2.2
2017,%,employees,_M,80.3
2017,%,self_employed,_M,18.5
2017,%,unpaid_family_workers,_M,1.3
2017,%,employees,_F,82.8
2017,%,self_employed,_F,13.5
2017,%,unpaid_family_workers,_F,3.7
2018,%,employees,_T,84.9
2018,%,self_employed,_T,14.1
2018,%,unpaid_family_workers,_T,1
2018,%,employees,_M,83.2
2018,%,self_employed,_M,16.2
2018,%,unpaid_family_workers,_M,0
2018,%,employees,_F,87.8
2018,%,self_employed,_F,10.5
2018,%,unpaid_family_workers,_F,1.7
2019,%,employees,_T,83
2019,%,self_employed,_T,15.7
2019,%,unpaid_family_workers,_T,1.3
2019,%,employees,_M,82.1
2019,%,self_employed,_M,17.3
2019,%,unpaid_family_workers,_M,0
2019,%,employees,_F,84.4
2019,%,self_employed,_F,13.1
2019,%,unpaid_family_workers,_F,2.5
2020,%,employees,_T,89
2020,%,self_employed,_T,10.3
2020,%,unpaid_family_workers,_T,0.7
2020,%,employees,_M,87.9
2020,%,self_employed,_M,11.6
2020,%,unpaid_family_workers,_M,0.6
2020,%,employees,_F,91.1
2020,%,self_employed,_F,8
2020,%,unpaid_family_workers,_F,0.9
2021,%,employees,_T,89.5
2021,%,self_employed,_T,9.3
2021,%,unpaid_family_workers,_T,1.3
2021,%,employees,_M,88.7
2021,%,self_employed,_M,10.5
2021,%,unpaid_family_workers,_M,0.8
2021,%,employees,_F,90.8
2021,%,self_employed,_F,6.9
2021,%,unpaid_family_workers,_F,2.3
2022,%,employees,_T,89.7
2022,%,self_employed,_T,9.5
2022,%,unpaid_family_workers,_T,0.8
2022,%,employees,_M,88.6
2022,%,self_employed,_M,10.9
2022,%,unpaid_family_workers,_M,0.5
2022,%,employees,_F,91.7
2022,%,self_employed,_F,6.8
2022,%,unpaid_family_workers,_F,1.4
,,,,
