Year,UNIT_MEASURE,Municipality,Sex,Education,Value
2013,Number,Banovici,Both sexes,No education,692
2013,Number,Bihac,Both sexes,No education,1976
2013,Number,Bosanska Krupa,Both sexes,No education,1511
2013,Number,Bosanski Petrovac,Both sexes,No education,399
2013,Number,Bosansko Grahovo,Both sexes,No education,127
2013,Number,Breza,Both sexes,No education,589
2013,Number,Bugojno,Both sexes,No education,1137
2013,Number,Busovaca,Both sexes,No education,755
2013,Number,Buzim,Both sexes,No education,938
2013,Number,Cazin,Both sexes,No education,3220
2013,Number,centar_sarajevo,Both sexes,No education,675
2013,Number,Capljina,Both sexes,No education,793
2013,Number,Celic,Both sexes,No education,685
2013,Number,Citluk,Both sexes,No education,369
2013,Number,doboj-istok,Both sexes,No education,682
2013,Number,doboj-jug,Both sexes,No education,130
2013,Number,Dobretici,Both sexes,No education,174
2013,Number,domaljevac-samac,Both sexes,No education,259
2013,Number,Donji Vakuf,Both sexes,No education,631
2013,Number,Drvar,Both sexes,No education,273
2013,Number,foca-fbih,Both sexes,No education,148
2013,Number,Fojnica,Both sexes,No education,681
2013,Number,Glamoc,Both sexes,No education,244
2013,Number,Gorazde,Both sexes,No education,915
2013,Number,gornji_vakuf-uskoplje,Both sexes,No education,1145
2013,Number,Gracanica,Both sexes,No education,1989
2013,Number,Gradacac,Both sexes,No education,1660
2013,Number,Grude,Both sexes,No education,526
2013,Number,hadzici,Both sexes,No education,1177
2013,Number,ilidza,Both sexes,No education,1729
2013,Number,ilijas,Both sexes,No education,990
2013,Number,Jablanica,Both sexes,No education,483
2013,Number,Jajce,Both sexes,No education,1443
2013,Number,Kakanj,Both sexes,No education,1699
2013,Number,Kalesija,Both sexes,No education,1714
2013,Number,Kiseljak,Both sexes,No education,860
2013,Number,Kladanj,Both sexes,No education,455
2013,Number,Ključ,Both sexes,No education,918
2013,Number,Konjic,Both sexes,No education,1320
2013,Number,Kresevo,Both sexes,No education,290
2013,Number,kupres-fbih,Both sexes,No education,217
2013,Number,Livno,Both sexes,No education,1393
2013,Number,Lukavac,Both sexes,No education,2081
2013,Number,Ljubuski,Both sexes,No education,691
2013,Number,Maglaj,Both sexes,No education,831
2013,Number,Mostar,Both sexes,No education,2024
2013,Number,Neum,Both sexes,No education,204
2013,Number,novi_grad_sarajevo,Both sexes,No education,2624
2013,Number,Novi Travnik,Both sexes,No education,844
2013,Number,novo_sarajevo,Both sexes,No education,872
2013,Number,Odzak,Both sexes,No education,899
2013,Number,Olovo,Both sexes,No education,511
2013,Number,Orasje,Both sexes,No education,719
2013,Number,pale-fbih,Both sexes,No education,70
2013,Number,Posusje,Both sexes,No education,779
2013,Number,Prozor,Both sexes,No education,943
2013,Number,Ravno,Both sexes,No education,83
2013,Number,Sanski Most,Both sexes,No education,2061
2013,Number,Sapna,Both sexes,No education,760
2013,Number,Srebrenik,Both sexes,No education,2208
2013,Number,stari_grad_sarajevo,Both sexes,No education,710
2013,Number,Stolac,Both sexes,No education,570
2013,Number,Siroki Brijeg,Both sexes,No education,964
2013,Number,Teocak,Both sexes,No education,410
2013,Number,Tesanj,Both sexes,No education,1730
2013,Number,Tomislavgrad,Both sexes,No education,1432
2013,Number,Travnik,Both sexes,No education,2182
2013,Number,trnovo-fbih,Both sexes,No education,203
2013,Number,Tuzla,Both sexes,No education,3226
