Year,UNIT_MEASURE,Admin area,Value
2011,Number,federation_of_bih,1208
2011,Number,una-sana_canton,237
2011,Number,posavina_canton,19
2011,Number,tuzla_canton,256
2011,Number,zenica-doboj_canton,225
2011,Number,bosnian-podrinje_canton,21
2011,Number,central_bosnia_canton,63
2011,Number,herzegovina-neretva_canton,110
2011,Number,west_herzegovina_canton,15
2011,Number,sarajevo_canton,250
2011,Number,canton_10,12
2012,Number,federation_of_bih,1173
2012,Number,una-sana_canton,252
2012,Number,posavina_canton,25
2012,Number,tuzla_canton,251
2012,Number,zenica-doboj_canton,308
2012,Number,bosnian-podrinje_canton,7
2012,Number,central_bosnia_canton,106
2012,Number,herzegovina-neretva_canton,109
2012,Number,west_herzegovina_canton,18
2012,Number,sarajevo_canton,88
2012,Number,canton_10,9
2013,Number,federation_of_bih,1359
2013,Number,una-sana_canton,257
2013,Number,posavina_canton,23
2013,Number,tuzla_canton,300
2013,Number,zenica-doboj_canton,293
2013,Number,bosnian-podrinje_canton,9
2013,Number,central_bosnia_canton,95
2013,Number,herzegovina-neretva_canton,128
2013,Number,west_herzegovina_canton,17
2013,Number,sarajevo_canton,231
2013,Number,canton_10,6
2014,Number,federation_of_bih,1318
2014,Number,una-sana_canton,255
2014,Number,posavina_canton,13
2014,Number,tuzla_canton,377
2014,Number,zenica-doboj_canton,289
2014,Number,bosnian-podrinje_canton,17
2014,Number,central_bosnia_canton,79
2014,Number,herzegovina-neretva_canton,115
2014,Number,west_herzegovina_canton,23
2014,Number,sarajevo_canton,139
2014,Number,canton_10,11
2015,Number,federation_of_bih,1490
2015,Number,una-sana_canton,241
2015,Number,posavina_canton,36
2015,Number,tuzla_canton,401
2015,Number,zenica-doboj_canton,225
2015,Number,bosnian-podrinje_canton,25
2015,Number,central_bosnia_canton,117
2015,Number,herzegovina-neretva_canton,124
2015,Number,west_herzegovina_canton,19
2015,Number,sarajevo_canton,295
2015,Number,canton_10,7
2016,Number,federation_of_bih,1445
2016,Number,una-sana_canton,250
2016,Number,posavina_canton,25
2016,Number,tuzla_canton,420
2016,Number,zenica-doboj_canton,214
2016,Number,bosnian-podrinje_canton,18
2016,Number,central_bosnia_canton,89
2016,Number,herzegovina-neretva_canton,160
2016,Number,west_herzegovina_canton,20
2016,Number,sarajevo_canton,242
2016,Number,canton_10,7
2017,Number,federation_of_bih,1725
2017,Number,una-sana_canton,253
2017,Number,posavina_canton,31
2017,Number,tuzla_canton,409
2017,Number,zenica-doboj_canton,361
2017,Number,bosnian-podrinje_canton,21
2017,Number,central_bosnia_canton,78
2017,Number,herzegovina-neretva_canton,118
2017,Number,west_herzegovina_canton,27
2017,Number,sarajevo_canton,413
2017,Number,canton_10,14
2018,Number,federation_of_bih,1823
2018,Number,una-sana_canton,273
2018,Number,posavina_canton,40
2018,Number,tuzla_canton,522
2018,Number,zenica-doboj_canton,348
2018,Number,bosnian-podrinje_canton,32
2018,Number,central_bosnia_canton,125
2018,Number,herzegovina-neretva_canton,120
2018,Number,west_herzegovina_canton,20
2018,Number,sarajevo_canton,320
2018,Number,canton_10,23
2019,Number,federation_of_bih,1673
2019,Number,una-sana_canton,303
2019,Number,posavina_canton,45
2019,Number,tuzla_canton,428
2019,Number,zenica-doboj_canton,341
2019,Number,bosnian-podrinje_canton,25
2019,Number,central_bosnia_canton,142
2019,Number,herzegovina-neretva_canton,124
2019,Number,west_herzegovina_canton,26
2019,Number,sarajevo_canton,223
2019,Number,canton_10,16
2020,Number,federation_of_bih,1460
2020,Number,una-sana_canton,255
2020,Number,posavina_canton,24
2020,Number,tuzla_canton,448
2020,Number,zenica-doboj_canton,281
2020,Number,bosnian-podrinje_canton,25
2020,Number,central_bosnia_canton,107
2020,Number,herzegovina-neretva_canton,90
2020,Number,west_herzegovina_canton,21
2020,Number,sarajevo_canton,195
2020,Number,canton_10,14
