Year,Пол,UNIT_MEASURE,Value
1996,M,Age,28.1
1997,M,Age,27.1
1998,M,Age,27.9
1999,M,Age,27.7
2000,M,Age,27.4
2001,M,Age,27.4
2002,M,Age,27.5
2003,M,Age,27.6
2004,M,Age,27.6
2005,M,Age,27.7
2006,M,Age,27.7
2007,M,Age,27.8
2008,M,Age,27.8
2009,M,Age,27.9
2010,M,Age,27.9
2011,M,Age,28.1
2012,M,Age,28.1
2013,M,Age,28.6
2014,M,Age,28.1
2015,M,Age,28.4
2016,M,Age,28.3
2017,M,Age,28.3
2018,M,Age,28.5
2019,M,Age,28.3
2020,M,Age,28.4
1996,Ж,Age,24.4
1997,Ж,Age,23.8
1998,Ж,Age,24.4
1999,Ж,Age,24.2
2000,Ж,Age,23.9
2001,Ж,Age,24.0
2002,Ж,Age,24.1
2003,Ж,Age,24.2
2004,Ж,Age,24.2
2005,Ж,Age,24.3
2006,Ж,Age,24.3
2007,Ж,Age,24.5
2008,Ж,Age,24.6
2009,Ж,Age,24.8
2010,Ж,Age,24.9
2011,Ж,Age,25.0
2012,Ж,Age,25.2
2013,Ж,Age,25.5
2014,Ж,Age,25.2
2015,Ж,Age,25.5
2016,Ж,Age,25.4
2017,Ж,Age,25.5
2018,Ж,Age,25.8
2019,Ж,Age,25.7
2020,Ж,Age,25.7
