Year,UNIT_MEASURE,ADMIN_AREA,HH_agri,Value
2013,NUMBER,banovici,_T,7636
2013,NUMBER,bihac,_T,18294
2013,NUMBER,bosanska_krupa,_T,7675
2013,NUMBER,bosanski_petrovac,_T,2798
2013,NUMBER,bosansko_grahovo,_T,1046
2013,NUMBER,breza,_T,5058
2013,NUMBER,bugojno,_T,9429
2013,NUMBER,busovaca,_T,5621
2013,NUMBER,buzim,_T,4326
2013,NUMBER,cazin,_T,16686
2013,NUMBER,centar_sarajevo,_T,21484
2013,NUMBER,capljina,_T,7916
2013,NUMBER,celic,_T,3203
2013,NUMBER,citluk,_T,4667
2013,NUMBER,doboj-istok,_T,3167
2013,NUMBER,doboj-jug,_T,1307
2013,NUMBER,dobretici,_T,473
2013,NUMBER,domaljevac-samac,_T,1312
2013,NUMBER,donji_vakuf,_T,4183
2013,NUMBER,drvar,_T,3033
2013,NUMBER,foca-fbih,_T,747
2013,NUMBER,fojnica,_T,3908
2013,NUMBER,glamoc,_T,1437
2013,NUMBER,gorazde,_T,7573
2013,NUMBER,gornji_vakuf-uskoplje,_T,5686
2013,NUMBER,gracanica,_T,15083
2013,NUMBER,gradacac,_T,11881
2013,NUMBER,grude,_T,4502
2013,NUMBER,hadzici,_T,7530
2013,NUMBER,ilidza,_T,22296
2013,NUMBER,ilijas,_T,6386
2013,NUMBER,jablanica,_T,3168
2013,NUMBER,jajce,_T,8041
2013,NUMBER,kakanj,_T,12240
2013,NUMBER,kalesija,_T,9781
2013,NUMBER,kiseljak,_T,6801
2013,NUMBER,kladanj,_T,3847
2013,NUMBER,kljuc,_T,4990
2013,NUMBER,konjic,_T,8381
2013,NUMBER,kresevo,_T,1845
2013,NUMBER,kupres-fbih,_T,1489
2013,NUMBER,livno,_T,9028
2013,NUMBER,lukavac,_T,16656
2013,NUMBER,ljubuski,_T,7444
2013,NUMBER,maglaj,_T,7687
2013,NUMBER,mostar,_T,34129
2013,NUMBER,neum,_T,1394
2013,NUMBER,novi_grad_sarajevo,_T,42274
2013,NUMBER,novi_travnik,_T,7267
2013,NUMBER,novo_sarajevo,_T,25690
2013,NUMBER,odzak,_T,5809
2013,NUMBER,olovo,_T,3493
2013,NUMBER,orasje,_T,6192
2013,NUMBER,pale-fbih,_T,350
2013,NUMBER,posusje,_T,5153
2013,NUMBER,prozor,_T,3653
2013,NUMBER,ravno,_T,929
2013,NUMBER,sanski_most,_T,11847
2013,NUMBER,sapna,_T,3085
2013,NUMBER,srebrenik,_T,13187
2013,NUMBER,stari_grad_sarajevo,_T,13753
2013,NUMBER,stolac,_T,3884
2013,NUMBER,siroki_brijeg,_T,7982
2013,NUMBER,teocak,_T,2020
2013,NUMBER,tesanj,_T,13426
2013,NUMBER,tomislavgrad,_T,7731
2013,NUMBER,travnik,_T,16445
2013,NUMBER,trnovo-fbih,_T,647
2013,NUMBER,tuzla,_T,42630
2013,NUMBER,usora,_T,1936
2013,NUMBER,vares,_T,3582
2013,NUMBER,velika_kladusa,_T,11651
2013,NUMBER,visoko,_T,12900
2013,NUMBER,vitez,_T,8190
2013,NUMBER,vogosca,_T,8811
2013,NUMBER,zavidovici,_T,12088
2013,NUMBER,zenica,_T,38609
2013,NUMBER,zepce,_T,8830
2013,NUMBER,zivinice,_T,18431
2013,NUMBER,banovici,agri_activity,3952
2013,NUMBER,bihac,agri_activity,4598
2013,NUMBER,bosanska_krupa,agri_activity,2488
2013,NUMBER,bosanski_petrovac,agri_activity,1171
2013,NUMBER,bosansko_grahovo,agri_activity,422
2013,NUMBER,breza,agri_activity,2335
2013,NUMBER,bugojno,agri_activity,3258
2013,NUMBER,busovaca,agri_activity,2668
2013,NUMBER,buzim,agri_activity,2553
2013,NUMBER,cazin,agri_activity,5345
2013,NUMBER,centar_sarajevo,agri_activity,932
2013,NUMBER,capljina,agri_activity,2326
2013,NUMBER,celic,agri_activity,1537
2013,NUMBER,citluk,agri_activity,1465
2013,NUMBER,doboj-istok,agri_activity,1846
2013,NUMBER,doboj-jug,agri_activity,717
2013,NUMBER,dobretici,agri_activity,173
2013,NUMBER,domaljevac-samac,agri_activity,413
2013,NUMBER,donji_vakuf,agri_activity,2104
2013,NUMBER,drvar,agri_activity,643
2013,NUMBER,foca-fbih,agri_activity,296
2013,NUMBER,fojnica,agri_activity,1500
2013,NUMBER,glamoc,agri_activity,550
2013,NUMBER,gorazde,agri_activity,2903
2013,NUMBER,gornji_vakuf-uskoplje,agri_activity,2438
2013,NUMBER,gracanica,agri_activity,7084
2013,NUMBER,gradacac,agri_activity,4784
2013,NUMBER,grude,agri_activity,1982
2013,NUMBER,hadzici,agri_activity,3254
2013,NUMBER,ilidza,agri_activity,2931
2013,NUMBER,ilijas,agri_activity,2273
2013,NUMBER,jablanica,agri_activity,1680
2013,NUMBER,jajce,agri_activity,3317
2013,NUMBER,kakanj,agri_activity,5490
2013,NUMBER,kalesija,agri_activity,5217
2013,NUMBER,kiseljak,agri_activity,3256
2013,NUMBER,kladanj,agri_activity,2244
2013,NUMBER,kljuc,agri_activity,1343
2013,NUMBER,konjic,agri_activity,2426
2013,NUMBER,kresevo,agri_activity,667
2013,NUMBER,kupres-fbih,agri_activity,406
2013,NUMBER,livno,agri_activity,3065
2013,NUMBER,lukavac,agri_activity,6475
2013,NUMBER,ljubuski,agri_activity,2302
2013,NUMBER,maglaj,agri_activity,3243
2013,NUMBER,mostar,agri_activity,6039
2013,NUMBER,neum,agri_activity,350
2013,NUMBER,novi_grad_sarajevo,agri_activity,3007
2013,NUMBER,novi_travnik,agri_activity,3077
2013,NUMBER,novo_sarajevo,agri_activity,855
2013,NUMBER,odzak,agri_activity,1342
2013,NUMBER,olovo,agri_activity,1929
2013,NUMBER,orasje,agri_activity,2205
2013,NUMBER,pale-fbih,agri_activity,174
2013,NUMBER,posusje,agri_activity,1783
2013,NUMBER,prozor,agri_activity,1588
2013,NUMBER,ravno,agri_activity,261
2013,NUMBER,sanski_most,agri_activity,1912
2013,NUMBER,sapna,agri_activity,1524
2013,NUMBER,srebrenik,agri_activity,5602
2013,NUMBER,stari_grad_sarajevo,agri_activity,917
2013,NUMBER,stolac,agri_activity,1561
2013,NUMBER,siroki_brijeg,agri_activity,3525
2013,NUMBER,teocak,agri_activity,1036
2013,NUMBER,tesanj,agri_activity,6098
2013,NUMBER,tomislavgrad,agri_activity,2153
2013,NUMBER,travnik,agri_activity,5648
2013,NUMBER,trnovo-fbih,agri_activity,435
2013,NUMBER,tuzla,agri_activity,6752
2013,NUMBER,usora,agri_activity,927
2013,NUMBER,vares,agri_activity,1167
2013,NUMBER,velika_kladusa,agri_activity,4535
2013,NUMBER,visoko,agri_activity,5810
2013,NUMBER,vitez,agri_activity,3383
2013,NUMBER,vogosca,agri_activity,1508
2013,NUMBER,zavidovici,agri_activity,6224
2013,NUMBER,zenica,agri_activity,8853
2013,NUMBER,zepce,agri_activity,4829
2013,NUMBER,zivinice,agri_activity,7980
2013,NUMBER,banovici,agri_activity_sale,246
2013,NUMBER,bihac,agri_activity_sale,444
2013,NUMBER,bosanska_krupa,agri_activity_sale,484
2013,NUMBER,bosanski_petrovac,agri_activity_sale,229
2013,NUMBER,bosansko_grahovo,agri_activity_sale,61
2013,NUMBER,breza,agri_activity_sale,247
2013,NUMBER,bugojno,agri_activity_sale,649
2013,NUMBER,busovaca,agri_activity_sale,253
2013,NUMBER,buzim,agri_activity_sale,582
2013,NUMBER,cazin,agri_activity_sale,1105
2013,NUMBER,centar_sarajevo,agri_activity_sale,73
2013,NUMBER,capljina,agri_activity_sale,1457
2013,NUMBER,celic,agri_activity_sale,557
2013,NUMBER,citluk,agri_activity_sale,144
2013,NUMBER,doboj-istok,agri_activity_sale,261
2013,NUMBER,doboj-jug,agri_activity_sale,30
2013,NUMBER,dobretici,agri_activity_sale,10
2013,NUMBER,domaljevac-samac,agri_activity_sale,94
2013,NUMBER,donji_vakuf,agri_activity_sale,381
2013,NUMBER,drvar,agri_activity_sale,75
2013,NUMBER,foca-fbih,agri_activity_sale,82
2013,NUMBER,fojnica,agri_activity_sale,268
2013,NUMBER,glamoc,agri_activity_sale,339
2013,NUMBER,gorazde,agri_activity_sale,357
2013,NUMBER,gornji_vakuf-uskoplje,agri_activity_sale,534
2013,NUMBER,gracanica,agri_activity_sale,829
2013,NUMBER,gradacac,agri_activity_sale,1404
2013,NUMBER,grude,agri_activity_sale,143
2013,NUMBER,hadzici,agri_activity_sale,253
2013,NUMBER,ilidza,agri_activity_sale,202
2013,NUMBER,ilijas,agri_activity_sale,204
2013,NUMBER,jablanica,agri_activity_sale,117
2013,NUMBER,jajce,agri_activity_sale,351
2013,NUMBER,kakanj,agri_activity_sale,486
2013,NUMBER,kalesija,agri_activity_sale,584
2013,NUMBER,kiseljak,agri_activity_sale,314
2013,NUMBER,kladanj,agri_activity_sale,143
2013,NUMBER,kljuc,agri_activity_sale,281
2013,NUMBER,konjic,agri_activity_sale,572
2013,NUMBER,kresevo,agri_activity_sale,65
2013,NUMBER,kupres-fbih,agri_activity_sale,123
2013,NUMBER,livno,agri_activity_sale,466
2013,NUMBER,lukavac,agri_activity_sale,331
2013,NUMBER,ljubuski,agri_activity_sale,766
2013,NUMBER,maglaj,agri_activity_sale,216
2013,NUMBER,mostar,agri_activity_sale,635
2013,NUMBER,neum,agri_activity_sale,15
2013,NUMBER,novi_grad_sarajevo,agri_activity_sale,164
2013,NUMBER,novi_travnik,agri_activity_sale,679
2013,NUMBER,novo_sarajevo,agri_activity_sale,58
2013,NUMBER,odzak,agri_activity_sale,238
2013,NUMBER,olovo,agri_activity_sale,98
2013,NUMBER,orasje,agri_activity_sale,502
2013,NUMBER,pale-fbih,agri_activity_sale,23
2013,NUMBER,posusje,agri_activity_sale,106
2013,NUMBER,prozor,agri_activity_sale,208
2013,NUMBER,ravno,agri_activity_sale,74
2013,NUMBER,sanski_most,agri_activity_sale,481
2013,NUMBER,sapna,agri_activity_sale,177
2013,NUMBER,srebrenik,agri_activity_sale,496
2013,NUMBER,stari_grad_sarajevo,agri_activity_sale,51
2013,NUMBER,stolac,agri_activity_sale,586
2013,NUMBER,siroki_brijeg,agri_activity_sale,146
2013,NUMBER,teocak,agri_activity_sale,54
2013,NUMBER,tesanj,agri_activity_sale,874
2013,NUMBER,tomislavgrad,agri_activity_sale,356
2013,NUMBER,travnik,agri_activity_sale,1204
2013,NUMBER,trnovo-fbih,agri_activity_sale,80
2013,NUMBER,tuzla,agri_activity_sale,393
2013,NUMBER,usora,agri_activity_sale,46
2013,NUMBER,vares,agri_activity_sale,146
2013,NUMBER,velika_kladusa,agri_activity_sale,941
2013,NUMBER,visoko,agri_activity_sale,928
2013,NUMBER,vitez,agri_activity_sale,281
2013,NUMBER,vogosca,agri_activity_sale,156
2013,NUMBER,zavidovici,agri_activity_sale,296
2013,NUMBER,zenica,agri_activity_sale,1231
2013,NUMBER,zepce,agri_activity_sale,787
2013,NUMBER,zivinice,agri_activity_sale,767
