Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,535
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,1157
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,1595
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,2316
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,2355
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,2564
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,2959
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,2927
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,2641
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,2823
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,2718
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,3116
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,2795
2010,Broj,Federacija Bosne i Hercegovine,M,201
2011,Broj,Federacija Bosne i Hercegovine,M,393
2012,Broj,Federacija Bosne i Hercegovine,M,557
2013,Broj,Federacija Bosne i Hercegovine,M,862
2014,Broj,Federacija Bosne i Hercegovine,M,837
2015,Broj,Federacija Bosne i Hercegovine,M,962
2016,Broj,Federacija Bosne i Hercegovine,M,1070
2017,Broj,Federacija Bosne i Hercegovine,M,1038
2018,Broj,Federacija Bosne i Hercegovine,M,980
2019,Broj,Federacija Bosne i Hercegovine,M,1026
2020,Broj,Federacija Bosne i Hercegovine,M,950
2021,Broj,Federacija Bosne i Hercegovine,M,1064
2022,Broj,Federacija Bosne i Hercegovine,M,992
2010,Broj,Federacija Bosne i Hercegovine,Ž,334
2011,Broj,Federacija Bosne i Hercegovine,Ž,764
2012,Broj,Federacija Bosne i Hercegovine,Ž,1038
2013,Broj,Federacija Bosne i Hercegovine,Ž,1454
2014,Broj,Federacija Bosne i Hercegovine,Ž,1518
2015,Broj,Federacija Bosne i Hercegovine,Ž,1602
2016,Broj,Federacija Bosne i Hercegovine,Ž,1889
2017,Broj,Federacija Bosne i Hercegovine,Ž,1889
2018,Broj,Federacija Bosne i Hercegovine,Ž,1661
2019,Broj,Federacija Bosne i Hercegovine,Ž,1797
2020,Broj,Federacija Bosne i Hercegovine,Ž,1768
2021,Broj,Federacija Bosne i Hercegovine,Ž,2052
2022,Broj,Federacija Bosne i Hercegovine,Ž,1803
2010,Broj,Unsko-sanska županija,Oba spola,1
2013,Broj,Unsko-sanska županija,Oba spola,1
2014,Broj,Unsko-sanska županija,Oba spola,9
2015,Broj,Unsko-sanska županija,Oba spola,19
2016,Broj,Unsko-sanska županija,Oba spola,27
2017,Broj,Unsko-sanska županija,Oba spola,29
2018,Broj,Unsko-sanska županija,Oba spola,22
2019,Broj,Unsko-sanska županija,Oba spola,22
2020,Broj,Unsko-sanska županija,Oba spola,15
