Year,UNIT_MEASURE,Admin_Area,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,95134.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,99228.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,108957.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,113214.0
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,106056.0
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,96331.0
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,87813.0
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,82675.0
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,81454.0
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,76174.0
2010,Broj,Federacija Bosne i Hercegovine,M,
2011,Broj,Federacija Bosne i Hercegovine,M,
2012,Broj,Federacija Bosne i Hercegovine,M,
2013,Broj,Federacija Bosne i Hercegovine,M,
2014,Broj,Federacija Bosne i Hercegovine,M,
2015,Broj,Federacija Bosne i Hercegovine,M,
2016,Broj,Federacija Bosne i Hercegovine,M,
2017,Broj,Federacija Bosne i Hercegovine,M,
2018,Broj,Federacija Bosne i Hercegovine,M,
2019,Broj,Federacija Bosne i Hercegovine,M,
2010,Broj,Federacija Bosne i Hercegovine,Ž,
2011,Broj,Federacija Bosne i Hercegovine,Ž,
2012,Broj,Federacija Bosne i Hercegovine,Ž,
2013,Broj,Federacija Bosne i Hercegovine,Ž,
2014,Broj,Federacija Bosne i Hercegovine,Ž,
2015,Broj,Federacija Bosne i Hercegovine,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Ž,
2010,Broj,Županija Unsko-sanska,Oba spola,10547.0
2011,Broj,Županija Unsko-sanska,Oba spola,10302.0
2012,Broj,Županija Unsko-sanska,Oba spola,11913.0
2013,Broj,Županija Unsko-sanska,Oba spola,12734.0
2014,Broj,Županija Unsko-sanska,Oba spola,11904.0
2015,Broj,Županija Unsko-sanska,Oba spola,11058.0
2016,Broj,Županija Unsko-sanska,Oba spola,10239.0
2017,Broj,Županija Unsko-sanska,Oba spola,9619.0
