Year,UNIT_MEASURE,Oпштина,Пол,Education,Value
2013,Број,Бановићи,Оба пола,Без образовања,692
2013,Број,Бихаћ,Оба пола,Без образовања,1976
2013,Број,Босанска Крупа,Оба пола,Без образовања,1511
2013,Број,Босански Петровац,Оба пола,Без образовања,399
2013,Број,Босанско Грахово,Оба пола,Без образовања,127
2013,Број,Бреза,Оба пола,Без образовања,589
2013,Број,Бугојно,Оба пола,Без образовања,1137
2013,Број,Бусовача,Оба пола,Без образовања,755
2013,Број,Бужим,Оба пола,Без образовања,938
2013,Број,Цазин,Оба пола,Без образовања,3220
2013,Број,centar_sarajevo,Оба пола,Без образовања,675
2013,Број,Чапљина,Оба пола,Без образовања,793
2013,Број,Челић,Оба пола,Без образовања,685
2013,Број,Читлук,Оба пола,Без образовања,369
2013,Број,doboj-istok,Оба пола,Без образовања,682
2013,Број,doboj-jug,Оба пола,Без образовања,130
2013,Број,Добретићи,Оба пола,Без образовања,174
2013,Број,domaljevac-samac,Оба пола,Без образовања,259
2013,Број,Доњи Вакуф,Оба пола,Без образовања,631
2013,Број,Дрвар,Оба пола,Без образовања,273
2013,Број,foca-fbih,Оба пола,Без образовања,148
2013,Број,Фојница,Оба пола,Без образовања,681
2013,Број,Гламоч,Оба пола,Без образовања,244
2013,Број,Горажде,Оба пола,Без образовања,915
2013,Број,gornji_vakuf-uskoplje,Оба пола,Без образовања,1145
2013,Број,Грачаница,Оба пола,Без образовања,1989
2013,Број,Градачац,Оба пола,Без образовања,1660
2013,Број,Груде,Оба пола,Без образовања,526
2013,Број,hadzici,Оба пола,Без образовања,1177
2013,Број,ilidza,Оба пола,Без образовања,1729
2013,Број,ilijas,Оба пола,Без образовања,990
2013,Број,Јабланица,Оба пола,Без образовања,483
2013,Број,Јајце,Оба пола,Без образовања,1443
2013,Број,Какањ,Оба пола,Без образовања,1699
2013,Број,Калесија,Оба пола,Без образовања,1714
2013,Број,Кисељак,Оба пола,Без образовања,860
2013,Број,Кладањ,Оба пола,Без образовања,455
2013,Број,Кључ,Оба пола,Без образовања,918
2013,Број,Коњиц,Оба пола,Без образовања,1320
2013,Број,Крешево,Оба пола,Без образовања,290
2013,Број,kupres-fbih,Оба пола,Без образовања,217
2013,Број,Ливно,Оба пола,Без образовања,1393
2013,Број,Лукавац,Оба пола,Без образовања,2081
2013,Број,Љубушки,Оба пола,Без образовања,691
2013,Број,Маглај,Оба пола,Без образовања,831
2013,Број,Мостар,Оба пола,Без образовања,2024
2013,Број,Неум,Оба пола,Без образовања,204
2013,Број,novi_grad_sarajevo,Оба пола,Без образовања,2624
2013,Број,Нови Травник,Оба пола,Без образовања,844
2013,Број,novo_sarajevo,Оба пола,Без образовања,872
2013,Број,Оџак,Оба пола,Без образовања,899
2013,Број,Олово,Оба пола,Без образовања,511
2013,Број,Орашје,Оба пола,Без образовања,719
2013,Број,pale-fbih,Оба пола,Без образовања,70
2013,Број,Посушје,Оба пола,Без образовања,779
2013,Број,Прозор,Оба пола,Без образовања,943
2013,Број,Равно,Оба пола,Без образовања,83
2013,Број,Сански Мост,Оба пола,Без образовања,2061
2013,Број,Сапна,Оба пола,Без образовања,760
2013,Број,Сребреник,Оба пола,Без образовања,2208
2013,Број,stari_grad_sarajevo,Оба пола,Без образовања,710
2013,Број,Столац,Оба пола,Без образовања,570
2013,Број,Широки Бријег,Оба пола,Без образовања,964
2013,Број,Теочак,Оба пола,Без образовања,410
2013,Број,Тешањ,Оба пола,Без образовања,1730
2013,Број,Томиславград,Оба пола,Без образовања,1432
2013,Број,Травник,Оба пола,Без образовања,2182
2013,Број,trnovo-fbih,Оба пола,Без образовања,203
2013,Број,Тузла,Оба пола,Без образовања,3226
2013,Број,Усора,Оба пола,Без образовања,420
2013,Број,Вареш,Оба пола,Без образовања,299
2013,Број,Велика Кладуша,Оба пола,Без образовања,2257
2013,Број,Високо,Оба пола,Без образовања,1394
2013,Број,Витез,Оба пола,Без образовања,816
2013,Број,vogosca,Оба пола,Без образовања,786
2013,Број,Завидовићи,Оба пола,Без образовања,1563
2013,Број,Зеница,Оба пола,Без образовања,2731
2013,Број,Жепче,Оба пола,Без образовања,1143
2013,Број,Живинице,Оба пола,Без образовања,2673
2013,Број,Бановићи,M,Без образовања,70
2013,Број,Бихаћ,M,Без образовања,356
2013,Број,Босанска Крупа,M,Без образовања,309
2013,Број,Босански Петровац,M,Без образовања,72
2013,Број,Босанско Грахово,M,Без образовања,7
2013,Број,Бреза,M,Без образовања,37
2013,Број,Бугојно,M,Без образовања,180
2013,Број,Бусовача,M,Без образовања,98
2013,Број,Бужим,M,Без образовања,230
2013,Број,Цазин,M,Без образовања,649
2013,Број,centar_sarajevo,M,Без образовања,103
2013,Број,Чапљина,M,Без образовања,106
2013,Број,Челић,M,Без образовања,173
2013,Број,Читлук,M,Без образовања,46
2013,Број,doboj-istok,M,Без образовања,136
2013,Број,doboj-jug,M,Без образовања,4
2013,Број,Добретићи,M,Без образовања,34
2013,Број,domaljevac-samac,M,Без образовања,54
2013,Број,Доњи Вакуф,M,Без образовања,129
2013,Број,Дрвар,M,Без образовања,39
2013,Број,foca-fbih,M,Без образовања,24
2013,Број,Фојница,M,Без образовања,133
2013,Број,Гламоч,M,Без образовања,40
2013,Број,Горажде,M,Без образовања,118
2013,Број,gornji_vakuf-uskoplje,M,Без образовања,260
2013,Број,Грачаница,M,Без образовања,353
2013,Број,Градачац,M,Без образовања,344
2013,Број,Груде,M,Без образовања,89
2013,Број,hadzici,M,Без образовања,266
2013,Број,ilidza,M,Без образовања,234
2013,Број,ilijas,M,Без образовања,112
2013,Број,Јабланица,M,Без образовања,59
2013,Број,Јајце,M,Без образовања,281
2013,Број,Какањ,M,Без образовања,287
2013,Број,Калесија,M,Без образовања,274
2013,Број,Кисељак,M,Без образовања,128
2013,Број,Кладањ,M,Без образовања,76
2013,Број,Кључ,M,Без образовања,132
2013,Број,Коњиц,M,Без образовања,204
2013,Број,Крешево,M,Без образовања,41
2013,Број,kupres-fbih,M,Без образовања,37
2013,Број,Ливно,M,Без образовања,201
2013,Број,Лукавац,M,Без образовања,267
2013,Број,Љубушки,M,Без образовања,91
2013,Број,Маглај,M,Без образовања,121
2013,Број,Мостар,M,Без образовања,275
2013,Број,Неум,M,Без образовања,34
2013,Број,novi_grad_sarajevo,M,Без образовања,362
2013,Број,Нови Травник,M,Без образовања,126
2013,Број,novo_sarajevo,M,Без образовања,119
2013,Број,Оџак,M,Без образовања,182
2013,Број,Олово,M,Без образовања,62
2013,Број,Орашје,M,Без образовања,131
2013,Број,pale-fbih,M,Без образовања,17
2013,Број,Посушје,M,Без образовања,134
2013,Број,Прозор,M,Без образовања,204
2013,Број,Равно,M,Без образовања,7
2013,Број,Сански Мост,M,Без образовања,366
2013,Број,Сапна,M,Без образовања,148
2013,Број,Сребреник,M,Без образовања,384
2013,Број,stari_grad_sarajevo,M,Без образовања,100
2013,Број,Столац,M,Без образовања,112
2013,Број,Широки Бријег,M,Без образовања,136
2013,Број,Теочак,M,Без образовања,82
2013,Број,Тешањ,M,Без образовања,266
2013,Број,Томиславград,M,Без образовања,256
2013,Број,Травник,M,Без образовања,445
2013,Број,trnovo-fbih,M,Без образовања,28
2013,Број,Тузла,M,Без образовања,413
2013,Број,Усора,M,Без образовања,48
2013,Број,Вареш,M,Без образовања,30
2013,Број,Велика Кладуша,M,Без образовања,495
2013,Број,Високо,M,Без образовања,218
2013,Број,Витез,M,Без образовања,126
2013,Број,vogosca,M,Без образовања,93
2013,Број,Завидовићи,M,Без образовања,259
2013,Број,Зеница,M,Без образовања,429
2013,Број,Жепче,M,Без образовања,175
2013,Број,Живинице,M,Без образовања,369
2013,Број,Бановићи,Ж,Без образовања,622
2013,Број,Бихаћ,Ж,Без образовања,1620
2013,Број,Босанска Крупа,Ж,Без образовања,1202
2013,Број,Босански Петровац,Ж,Без образовања,327
2013,Број,Босанско Грахово,Ж,Без образовања,120
2013,Број,Бреза,Ж,Без образовања,552
2013,Број,Бугојно,Ж,Без образовања,957
2013,Број,Бусовача,Ж,Без образовања,657
2013,Број,Бужим,Ж,Без образовања,708
2013,Број,Цазин,Ж,Без образовања,2571
2013,Број,centar_sarajevo,Ж,Без образовања,572
2013,Број,Чапљина,Ж,Без образовања,687
2013,Број,Челић,Ж,Без образовања,512
2013,Број,Читлук,Ж,Без образовања,323
2013,Број,doboj-istok,Ж,Без образовања,546
2013,Број,doboj-jug,Ж,Без образовања,126
2013,Број,Добретићи,Ж,Без образовања,140
2013,Број,domaljevac-samac,Ж,Без образовања,205
2013,Број,Доњи Вакуф,Ж,Без образовања,502
2013,Број,Дрвар,Ж,Без образовања,234
2013,Број,foca-fbih,Ж,Без образовања,124
2013,Број,Фојница,Ж,Без образовања,548
2013,Број,Гламоч,Ж,Без образовања,204
2013,Број,Горажде,Ж,Без образовања,797
2013,Број,gornji_vakuf-uskoplje,Ж,Без образовања,885
2013,Број,Грачаница,Ж,Без образовања,1636
2013,Број,Градачац,Ж,Без образовања,1316
2013,Број,Груде,Ж,Без образовања,437
2013,Број,hadzici,Ж,Без образовања,911
2013,Број,ilidza,Ж,Без образовања,1495
2013,Број,ilijas,Ж,Без образовања,878
2013,Број,Јабланица,Ж,Без образовања,424
2013,Број,Јајце,Ж,Без образовања,1162
2013,Број,Какањ,Ж,Без образовања,1412
2013,Број,Калесија,Ж,Без образовања,1440
2013,Број,Кисељак,Ж,Без образовања,732
2013,Број,Кладањ,Ж,Без образовања,379
2013,Број,Кључ,Ж,Без образовања,786
2013,Број,Коњиц,Ж,Без образовања,1116
2013,Број,Крешево,Ж,Без образовања,249
2013,Број,kupres-fbih,Ж,Без образовања,180
2013,Број,Ливно,Ж,Без образовања,1192
2013,Број,Лукавац,Ж,Без образовања,1814
2013,Број,Љубушки,Ж,Без образовања,600
2013,Број,Маглај,Ж,Без образовања,710
2013,Број,Мостар,Ж,Без образовања,1749
2013,Број,Неум,Ж,Без образовања,170
2013,Број,novi_grad_sarajevo,Ж,Без образовања,2262
2013,Број,Нови Травник,Ж,Без образовања,718
2013,Број,novo_sarajevo,Ж,Без образовања,753
2013,Број,Оџак,Ж,Без образовања,717
2013,Број,Олово,Ж,Без образовања,449
2013,Број,Орашје,Ж,Без образовања,588
2013,Број,pale-fbih,Ж,Без образовања,53
2013,Број,Посушје,Ж,Без образовања,645
2013,Број,Прозор,Ж,Без образовања,739
2013,Број,Равно,Ж,Без образовања,76
2013,Број,Сански Мост,Ж,Без образовања,1695
2013,Број,Сапна,Ж,Без образовања,612
2013,Број,Сребреник,Ж,Без образовања,1824
2013,Број,stari_grad_sarajevo,Ж,Без образовања,610
2013,Број,Столац,Ж,Без образовања,458
2013,Број,Широки Бријег,Ж,Без образовања,828
2013,Број,Теочак,Ж,Без образовања,328
2013,Број,Тешањ,Ж,Без образовања,1464
2013,Број,Томиславград,Ж,Без образовања,1176
2013,Број,Травник,Ж,Без образовања,1737
2013,Број,trnovo-fbih,Ж,Без образовања,175
2013,Број,Тузла,Ж,Без образовања,2813
2013,Број,Усора,Ж,Без образовања,372
2013,Број,Вареш,Ж,Без образовања,269
2013,Број,Велика Кладуша,Ж,Без образовања,1762
2013,Број,Високо,Ж,Без образовања,1176
2013,Број,Витез,Ж,Без образовања,690
2013,Број,vogosca,Ж,Без образовања,693
2013,Број,Завидовићи,Ж,Без образовања,1304
2013,Број,Зеница,Ж,Без образовања,2302
2013,Број,Жепче,Ж,Без образовања,968
2013,Број,Живинице,Ж,Без образовања,2304
2013,Број,Бановићи,Оба пола,incomplete_elementary,1845
2013,Број,Бихаћ,Оба пола,incomplete_elementary,3478
2013,Број,Босанска Крупа,Оба пола,incomplete_elementary,2675
2013,Број,Босански Петровац,Оба пола,incomplete_elementary,782
2013,Број,Босанско Грахово,Оба пола,incomplete_elementary,337
2013,Број,Бреза,Оба пола,incomplete_elementary,1289
2013,Број,Бугојно,Оба пола,incomplete_elementary,2265
2013,Број,Бусовача,Оба пола,incomplete_elementary,1492
2013,Број,Бужим,Оба пола,incomplete_elementary,1875
2013,Број,Цазин,Оба пола,incomplete_elementary,5704
2013,Број,centar_sarajevo,Оба пола,incomplete_elementary,1129
2013,Број,Чапљина,Оба пола,incomplete_elementary,1671
2013,Број,Челић,Оба пола,incomplete_elementary,1336
2013,Број,Читлук,Оба пола,incomplete_elementary,1074
2013,Број,doboj-istok,Оба пола,incomplete_elementary,974
2013,Број,doboj-jug,Оба пола,incomplete_elementary,266
2013,Број,Добретићи,Оба пола,incomplete_elementary,150
2013,Број,domaljevac-samac,Оба пола,incomplete_elementary,687
2013,Број,Доњи Вакуф,Оба пола,incomplete_elementary,1308
2013,Број,Дрвар,Оба пола,incomplete_elementary,534
2013,Број,foca-fbih,Оба пола,incomplete_elementary,225
2013,Број,Фојница,Оба пола,incomplete_elementary,1369
2013,Број,Гламоч,Оба пола,incomplete_elementary,443
2013,Број,Горажде,Оба пола,incomplete_elementary,1388
2013,Број,gornji_vakuf-uskoplje,Оба пола,incomplete_elementary,1628
2013,Број,Грачаница,Оба пола,incomplete_elementary,4661
2013,Број,Градачац,Оба пола,incomplete_elementary,4577
2013,Број,Груде,Оба пола,incomplete_elementary,1079
2013,Број,hadzici,Оба пола,incomplete_elementary,1630
2013,Број,ilidza,Оба пола,incomplete_elementary,2597
2013,Број,ilijas,Оба пола,incomplete_elementary,1548
2013,Број,Јабланица,Оба пола,incomplete_elementary,1031
2013,Број,Јајце,Оба пола,incomplete_elementary,3291
2013,Број,Какањ,Оба пола,incomplete_elementary,3704
2013,Број,Калесија,Оба пола,incomplete_elementary,3528
2013,Број,Кисељак,Оба пола,incomplete_elementary,1873
2013,Број,Кладањ,Оба пола,incomplete_elementary,1154
2013,Број,Кључ,Оба пола,incomplete_elementary,1516
2013,Број,Коњиц,Оба пола,incomplete_elementary,2665
2013,Број,Крешево,Оба пола,incomplete_elementary,477
2013,Број,kupres-fbih,Оба пола,incomplete_elementary,421
2013,Број,Ливно,Оба пола,incomplete_elementary,3312
2013,Број,Лукавац,Оба пола,incomplete_elementary,4069
2013,Број,Љубушки,Оба пола,incomplete_elementary,2547
2013,Број,Маглај,Оба пола,incomplete_elementary,2087
2013,Број,Мостар,Оба пола,incomplete_elementary,4310
2013,Број,Неум,Оба пола,incomplete_elementary,282
2013,Број,novi_grad_sarajevo,Оба пола,incomplete_elementary,4062
2013,Број,Нови Травник,Оба пола,incomplete_elementary,1863
2013,Број,novo_sarajevo,Оба пола,incomplete_elementary,1351
2013,Број,Оџак,Оба пола,incomplete_elementary,1925
2013,Број,Олово,Оба пола,incomplete_elementary,1122
2013,Број,Орашје,Оба пола,incomplete_elementary,2799
